tau_high,scenario,passed,fail_years_last10,min_repl_low,min_repl_mid,min_pool,max_state_loan,final_state_loan
0.1,crash_then_recover,1,0,1.0,0.7,3088395805084.128,0.0,0.0
0.1,stagflation_proxy,1,0,1.0,0.7,1812548353138.3826,0.0,0.0
0.1025,drawdown_5y_then_1p5,1,0,1.0,0.7,2688959541832.55,0.0,0.0
0.1025,crash_then_recover,1,0,1.0,0.7,3198188354914.988,0.0,0.0
0.1025,stagflation_proxy,1,0,1.0,0.7,1931132590033.0195,0.0,0.0
0.105,drawdown_5y_then_1p5,1,0,1.0,0.7,2792158304376.5737,0.0,0.0
0.105,crash_then_recover,1,0,1.0,0.7,3307980904745.8496,0.0,0.0
0.105,stagflation_proxy,1,0,1.0,0.7,2049716826927.6606,0.0,0.0
0.1075,drawdown_5y_then_1p5,1,0,1.0,0.7,2895357066920.597,0.0,0.0
0.1075,crash_then_recover,1,0,1.0,0.7,3417773454576.7114,0.0,0.0
0.1075,stagflation_proxy,1,0,1.0,0.7,2168301063822.2988,0.0,0.0
0.11,drawdown_5y_then_1p5,1,0,1.0,0.7,2998555829464.6206,0.0,0.0
0.11,crash_then_recover,1,0,1.0,0.7,3527566004407.572,0.0,0.0
0.11,stagflation_proxy,1,0,1.0,0.7,2286885300716.941,0.0,0.0
0.1125,drawdown_5y_then_1p5,1,0,1.0,0.7,3101754592008.645,0.0,0.0
0.1125,crash_then_recover,1,0,1.0,0.7,3637358554238.433,0.0,0.0
0.1125,stagflation_proxy,1,0,1.0,0.7,2405469537611.5806,0.0,0.0
0.115,drawdown_5y_then_1p5,1,0,1.0,0.7,3204953354552.6694,0.0,0.0
0.115,crash_then_recover,1,0,1.0,0.7,3747151104069.294,0.0,0.0
0.115,stagflation_proxy,1,0,1.0,0.7,2513201040719.514,0.0,0.0
0.1175,drawdown_5y_then_1p5,1,0,1.0,0.7,3308152117096.6934,0.0,0.0
0.1175,crash_then_recover,1,0,1.0,0.7,3856943653900.157,0.0,0.0
0.1175,stagflation_proxy,1,0,1.0,0.7,2607637086031.446,0.0,0.0
0.12,drawdown_5y_then_1p5,1,0,1.0,0.7,3411350879640.717,0.0,0.0
0.12,crash_then_recover,1,0,1.0,0.7,3966736203731.019,0.0,0.0
0.12,stagflation_proxy,1,0,1.0,0.7,2702073131343.377,0.0,0.0
